收寄城市,寄达城市,经转次数,路线
长春,盐城,1,长春-南京-盐城
长春,扬州,1,长春-南京-扬州
长春,南通,1,长春-南京-南通
长春,湖州,1,长春-南京-湖州
长春,嘉兴,1,长春-南京-嘉兴
长春,宁波,1,长春-南京-宁波
长春,台州,1,长春-南京-台州
长春,金华,1,长春-南京-金华
长春,义乌,2,长春-南京-湖州-义乌
长春,温州,1,长春-南京-温州
长春,蚌埠,1,长春-济南-蚌埠
长春,芜湖,1,长春-南京-芜湖
长春,安庆,1,长春-南京-安庆
长春,厦门,1,长春-南京-厦门
长春,泉州,1,长春-郑州-泉州
长春,鹰潭,1,长春-南京-鹰潭
长春,赣州,2,长春-天津-南昌-赣州
长春,潍坊,1,长春-济南-潍坊
长春,烟台,1,长春-济南-烟台
长春,青岛,1,长春-北京-青岛
长春,济宁,1,长春-济南-济宁
长春,临沂,1,长春-济南-临沂
长春,漯河,1,长春-郑州-漯河
长春,信阳,1,长春-郑州-信阳
长春,洛阳,1,长春-郑州-洛阳
长春,荆州,2,长春-郑州-襄阳-荆州
长春,襄阳,1,长春-郑州-襄阳
长春,常德,2,长春-天津-长沙-常德
长春,衡阳,2,长春-天津-长沙-衡阳
长春,汕头,2,长春-南京-厦门-汕头
长春,深圳,1,长春-郑州-深圳
长春,东莞,1,长春-郑州-东莞
长春,湛江,2,长春-天津-广州-湛江
长春,中山,1,长春-郑州-中山
长春,柳州,2,长春-济南-徐州-柳州
长春,南充,2,长春-郑州-重庆-南充
长春,内江,2,长春-郑州-重庆-内江
长春,大理州,2,长春-郑州-昆明-大理州
长春,宝鸡,2,长春-天津-西安-宝鸡
长春,阿克苏,2,长春-北京-兰州-阿克苏
长春,喀什,2,长春-郑州-乌鲁木齐-喀什
哈尔滨,北京,0,哈尔滨-北京
哈尔滨,天津,0,哈尔滨-天津
哈尔滨,石家庄,0,哈尔滨-石家庄
哈尔滨,太原,1,哈尔滨-廊坊-太原
哈尔滨,呼和浩特,1,哈尔滨-北京-呼和浩特
哈尔滨,沈阳,0,哈尔滨-沈阳
哈尔滨,长春,0,哈尔滨-长春
哈尔滨,上海,1,哈尔滨-天津-上海
哈尔滨,南京,0,哈尔滨-南京
哈尔滨,杭州,0,哈尔滨-杭州
哈尔滨,合肥,1,哈尔滨-济南-合肥
哈尔滨,福州,1,哈尔滨-济南-福州
哈尔滨,南昌,1,哈尔滨-天津-南昌
哈尔滨,济南,0,哈尔滨-济南
哈尔滨,郑州,0,哈尔滨-郑州
哈尔滨,武汉,0,哈尔滨-武汉
哈尔滨,长沙,1,哈尔滨-武汉-长沙
哈尔滨,广州,0,哈尔滨-广州
哈尔滨,南宁,1,哈尔滨-武汉-南宁
哈尔滨,海口,1,哈尔滨-广州-海口
哈尔滨,重庆,1,哈尔滨-石家庄-重庆
哈尔滨,成都,1,哈尔滨-石家庄-成都
哈尔滨,贵阳,1,哈尔滨-北京-贵阳
哈尔滨,昆明,1,哈尔滨-郑州-昆明
哈尔滨,拉萨,2,哈尔滨-北京-西宁-拉萨
哈尔滨,西安,1,哈尔滨-廊坊-西安
哈尔滨,兰州,1,哈尔滨-北京-兰州
哈尔滨,西宁,1,哈尔滨-北京-西宁
哈尔滨,银川,1,哈尔滨-北京-银川
哈尔滨,乌鲁木齐,1,哈尔滨-郑州-乌鲁木齐
哈尔滨,唐山,1,哈尔滨-天津-唐山
哈尔滨,廊坊,0,哈尔滨-廊坊
哈尔滨,保定,1,哈尔滨-廊坊-保定
哈尔滨,侯马,1,哈尔滨-北京-侯马
哈尔滨,包头,2,哈尔滨-北京-呼和浩特-包头
哈尔滨,大连,0,哈尔滨-大连
哈尔滨,锦州,1,哈尔滨-沈阳-锦州
哈尔滨,常州,1,哈尔滨-南京-常州
哈尔滨,无锡,1,哈尔滨-济南-无锡
哈尔滨,苏州,1,哈尔滨-南京-苏州
哈尔滨,徐州,1,哈尔滨-济南-徐州
哈尔滨,连云港,1,哈尔滨-南京-连云港
哈尔滨,淮安,1,哈尔滨-南京-淮安
哈尔滨,盐城,1,哈尔滨-南京-盐城
哈尔滨,扬州,1,哈尔滨-南京-扬州
哈尔滨,南通,1,哈尔滨-南京-南通
哈尔滨,湖州,1,哈尔滨-南京-湖州
